# harbour-strokecat 5-stroke dictionary
# format: <char>	<code>	<freq>
# code: 1=横 2=竖 3=撇 4=捺(含点) 5=折(含勾)
# sources: RIME stroke.dict.yaml + jieba freq
营	12245251251	6010
田	25121	6010
營	4334433445251251	6010
修	322354333	6007
考	121315	5973
員	2512511134	5970
员	2512534	5970
银	31115511534	5956
銀	34112431511534	5956
欲	34342513534	5942
何	3212512	5940
停	32412514512	5934
界	251213432	5931
解	3535112533112	5923
草	122251112	5919
鐨	34112431515322511134	5901
剉	343412122	5860
紫	212135554234	5847
劉	354533411243122	5839
刘	413425	5839
善	431121431251	5835
香	312342511	5826
晚	25113525135	5823
單	251251251112	5823
单	43251112	5823
吨	2511525	5810
噸	2511525132511134	5810
亞	12155121	5789
亚	122431	5789
搶	1213445113251	5785
抢	1213455	5785
弄	1121132	5784
列	135425	5778
质	33122534	5760
質	331233122511134	5760
铜	31115251251	5739
銅	34112431251251	5739
詞	411125151251	5735
词	4551251	5735
厂	13	5728
廠	413243252513134	5728
暖	2511344311354	5727
感	1312515344544	5722
凭	32112135	5717
憑	4112112544444544	5717
追	325151454	5675
緊	12512554554234	5672
紧	2254554534	5672
題	251112134132511134	5668
题	251112134132534	5668
臣	125125	5666
油	44125121	5665
讀	4111251121252212511134	5660
读	4512544134	5660
球	11211544344	5650
守	445124	5648
俄	323151543	5645
功	12153	5641
端	41431252132522	5639
散	122135413134	5634
公	3454	5628
義	4311213151543	5628
义	434	5628
攻	1213134	5612
陳	5212511234	5608
陈	5215234	5608
禮	45242512211251431	5605
礼	45245	5605
青	11213511	5581
引	5152	5550
投	1213554	5530
目	25111	5518
樹	1234121251431124	5516
树	123454124	5516
寺	121154	5512
岗	2522534	5473
崗	25225431252	5473
墙	12112431252511	5461
牆	52131234341252511	5461
頗	35254132511134	5456
颇	53254132534	5456
尚	24325251	5434
凡	354	5431
邦	311352	5417
根	1234511534	5413
末	11234	5409
槍	12343415113251	5382
枪	12343455	5382
运	1154454	5366
運	451251112454	5366
值	3212251111	5361
港	444122134515	5353
响	251325251	5346
響	55345115452414312511	5346
勢	1213512135453	5320
势	15135453	5320
鬼	325113554	5314
批	1211535	5299
