# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
落满	aiia	1539058
黄浦江	aiia	1191529
蓄水池	aiib	820169
东汉	aiic	2263905
东湖	aiid	7675435
落潮	aiif	285967
落泪	aiih	5461176
落水	aiii	3455435
东渡	aiio	934357
落泊	aiir	323698
东海	aiit	16780705
荡漾	aiiu	6871152
东洋	aiiu	2214258
黄澄澄	aiiw	302847
东流	aiiy	2720658
东瀛	aiiy	2035529
东盟	aije	6096658
蓄水量	aijg	1995811
落日	aijj	8251341
落果	aijs	327670
东临	aijt	1330541
落照	aijv	144969
落叶	aikf	10723764
东吴	aikg	1717788
东路	aikh	22440470
萍踪	aikh	925421
东川	aikt	761585
范畴	aild	11120941
范围	ailf	211496470
医学界	ailw	1737647
东岸	aimd	1906447
东周	aimf	789388
东山	aimm	5143435
落网	aimr	3882400
落败	aimt	2234117
薄层	ainf	796338
薄情	aing	871802
薄壁	aink	815204
落发	aint	330649
荧光屏	ainu	776480
藻类	aiod	1102164
荧光灯	aios	1459623
东床	aios	143976
落座	aiow	1350400
落寞	aipa	5332094
东家	aipg	6891011
落定	aipg	5203011
东宫	aipk	749670
落实	aipu	52030117
落空	aipw	4706541
薄礼	aipy	179722
茫然	aiqd	11915294
藩镇	aiqf	280009
落锁	aiqi	209510
薄饼	aiqn	552075
落水狗	aiqt	490512
落拓	aird	386254
落后	airg	25816470
落魄	airr	5421458
东西	aisg	232348235
范本	aisg	9343576
落枕	aisp	371360
薄板	aisr	4011482
黄粱梦	aiss	81421
萍水相逢	aist	1638352
落槌	aist	309797
蒸汽机	aisw	775487
落榜	aisy	1966023
汞柱	aisy	475618
东升	aita	4180282
落笔	aite	1340470
落选	aitf	3078117
东征	aitg	1062447
薄片	aith	2005741
落得	aitj	3941976
薄利	aitj	2234117
东向	aitm	1678070
落水管	aitp	117167
荡舟	aitu	311783
东魏	aitv	227383
落第	aitx	1102164
落入	aity	8241411
落差	aiua	4666823
艾滋病	aiug	12511058
东站	aiuh	1697929
薄冰	aiui	1578776
落单	aiuj	1022729
东部	aiuk	16979294
东端	aium	427957
荣誉奖	aiuq	800310
东郊	aiur	1688000
东道	aiut	1747576
东北	aiux	73874823
东门	aiuy	5838494
荡妇	aivv	1092235
莎翁	aiwc	612644
医学会	aiwf	4756188
范例	aiwg	7437129
落伍	aiwg	5381741
东侧	aiwm	3922117
东风	aiwr	27008000
落体	aiws	697044
薄绒	aixa	49845
东经	aixc	1290823
范蠡	aixe	370367
藏污纳垢	aixf	329656
东线	aixg	1191529
薄纱	aixi	2025600
薄纸	aixq	459731
萍乡	aixt	7556282
东乡	aixt	1489411
薄弱	aixu	13106823
东郭	aiyb	672221
东京	aiyi	43391529
落户	aiyn	10624470
东施	aiyt	257171
东方	aiyy	125110588
范文	aiyy	11816000
萌芽	ajaa	5600188
草莽	ajad	1827011
莫若	ajad	799317
葛藤	ajae	2949035
草鞋	ajaf	2343341
墓葬	ajag	1539058
蓝牙	ajah	20951058
划落	ajai	279016
草草	ajaj	2541929
草黄	ajam	181708
草莓	ajat	20653176
草菇	ajav	495477
草芥	ajaw	598743
草药	ajax	6086729
茧子	ajbb	376324
划出	ajbm	4041270
草皮	ajbn	1548988
莫及	ajby	2492282
莫能	ajce	1221317
草鸡	ajcq	534202
划破	ajdb	3296564
莫大	ajdd	8469788
莫不	ajdh	2541929
花里胡哨	ajdk	672221
幕布	ajdm	1658211
划成	ajdn	501435
草原	ajdr	27405176
墓碑	ajdr	2889458
暮春	ajdw	598743
募股	ajew	643425
草地	ajfb	12411764
墓地	ajfb	9075482
蓦地	ajfb	2273835
萌动	ajfc	1330541
幕墙	ajff	4686682
草坪	ajfg	8857035
鹊起	ajfh	702009
草场	ajfn	1717788
莫过	ajfp	810240
草堆	ajfw	728818
草垛	ajfw	94627
暮霭	ajfy	680164
划开	ajga	968117
草屯	ajgb	593778
划到	ajgc	1062447
蓝天	ajgd	21149647
蓝靛	ajge	346536
划一	ajgg	1489411
莫非	ajhd	8628658
划上	ajhh	2571717
攻坚战	ajhk	1380188
蓝紫	ajhx	4885270
葛洪	ajia	947265
蓄电池	ajib	4319294
草滩	ajic	282988
草尖	ajid	214475
蓝光	ajig	3157552
划清	ajig	1529129
莫测	ajim	5868282
草堂	ajip	5371811
花蝴蝶	ajja	1509270
昔时	ajjf	290931
昔日	ajjj	17674352
草蛇	ajjp	86882
草果	ajjs	601722
划归	ajjv	1449694
草叶	ajkf	853929
苹果园	ajlf	972089
墓园	ajlf	706974
蓝田	ajll	1827011
蓝图	ajlt	5083858
草图	ajlt	2164611
划界	ajlw	422000
七星岩	ajmd	155891
草帽	ajmh	1568847
花果山	ajmm	1449694
草民	ajna	1688000
莫怪	ajnc	984004
草屋	ajng	922442
草书	ajnn	1211388
节日快乐	ajnt	5590258
萌发	ajnt	4180282
莫属	ajnt	2641223
蓝屏	ajnu	1707858
草席	ajoa	451788
草籽	ajob	366395
草类	ajod	454767
